Image Filename,Description1,Description2,Label
crop001603.jpg,"The image shows a group of people walking beside a large stone building, likely involved in an outdoor event or tour, with some individuals wearing colorful jackets.","The person on the far left in the image appears to be an older adult wearing a green jacket and carrying a dark handbag, walking on the street among other pedestrians.",1
1022.jpg,"The image displays two figures, possibly in a foggy or misty environment, making the details of their surroundings and features somewhat indistinct. The person in the foreground is wearing a blue shirt and jeans, while the one behind appears in a red and black outfit.","The image shows two individuals walking, one taller person dressed in blue shorts and a graphic t-shirt, and a shorter person in black pants and a red fanny pack. The photo is blurry, making details hard to see.",1
crop001257.jpg,"Two women are outdoors playing on a grassy field, with one dressed in red looking towards the left and the other in the background in a blue shirt smiling and posing with her hands on her hips.","The person in the image is wearing a light blue t-shirt and beige pants, standing on grass with a playful expression, possibly enjoying a casual outdoor activity.",1
crop001149.jpg,"The image depicts a busy street scene with multiple individuals crossing the street or walking by, including a woman in the foreground wearing a light coat and black sandals.","The image shows two individuals, one is a woman wearing a beige coat and black pants, crossing the street, and the other is a man in a gray coat and blue jeans walking alongside her.",1
691.jpg,"The image shows two individuals riding bicycles down a misty street. The person in the foreground is wearing a thick coat and a face mask, while the other person, slightly blurred in the background, is also bundled up against the cold.","The image shows two people riding bicycles on a foggy, tree-lined street; the person in the foreground, wearing a coat and a face mask, rides a bike equipped with a basket.",1
856.jpg,"Three people wearing Santa hats and protective face masks are walking towards the camera in a hazy environment, dressed in winter clothing.","The image shows three individuals walking towards the camera, all wearing masks and festive Santa hats; the background is slightly misty, creating a wintry atmosphere. Two additional people can be seen walking in the opposite direction and two more are slightly off in the background, all dressed warmly for cold weather.",1
26.jpg,"The image shows two individuals in a foggy outdoor setting; one person is walking while wearing dark clothing and a face mask, and the other, dressed in blue, is sweeping the ground with a broom.","The image shows two individuals on a foggy path: one person is dressed in a blue uniform and holding a broom, likely engaged in cleaning the area, while the other person is wearing a black coat and walking by.",1
953.jpg,"The image shows two people, one holding a red object, standing in a snowy environment, displayed in a monochrome, inverted color palette.","The image shows two figures in a snowy setting; one appears to be holding a red object while both are dressed in winter clothing, facing towards the camera.",1
crop001626.jpg,"The image shows two individuals walking on a street; one in the foreground is dressed in dark clothing and jeans, while the other is further back, wearing light attire against a backdrop of cars and a stone building.","The person in the foreground is a woman wearing a black top and blue jeans, walking on a sidewalk. Behind her, there is a man in a white shirt and dark pants, also walking on the sidewalk, carrying a bag on his shoulder.",1
479.jpg,"The image shows three individuals walking across a crosswalk enveloped in fog. From left to right, the first person is dressed in a blue jacket, the second in a beige jacket, and the third in a teal jacket, all moving at a leisurely pace.","The image shows three people walking across a crosswalk in dense fog, with the visibility significantly reduced around them.",1
person_and_bike_137.jpg,"An elderly couple is walking hand in hand down a busy street, with the man in a gray suit and the woman in a dark coat and hat. To the left, another woman in a black coat walks by, while in the background various individuals are strolling or conversing near colorful buildings.","The image captures an elderly couple walking hand-in-hand down a bustling urban street lined with colorful buildings and pedestrians. A parked bicycle and various storefronts enhance the lively, everyday atmosphere of this European-style setting.",1
1137.jpg,"The image shows a close-up of a woman looking at the camera with a slight frown, wearing a dark coat over a lighter shirt, with out-of-focus figures and a misty background suggesting a busy, possibly chilly outdoor setting.","In this image, there are five individuals: one woman in the foreground with long hair and a dark coat, and in the background, there are four more people bundled in winter clothing, with one distinctly wearing a red jacket and another holding a camera.",1
crop001838.jpg,"The image shows a group of women in wetsuits standing on grass and holding colorful surfboards upright, apparently ready for a surfing session.","The three people on the left in the image are wearing wetsuits and holding upright surfboards on a grassy area near the beach. They are smiling broadly, suggesting they are enjoying their surf outing or are posing for a group photo.",1
425.jpg,"The person appears to be standing in thick fog, with arms outstretched, wearing a jacket, jeans, and possibly a cap.","The image shows a person standing with arms outstretched in a foggy environment, making them appear slightly obscured and ethereal. Their posture and the setting create a serene, almost mystical atmosphere.",1
person_387.jpg,"The image features two adults, a man and a woman, looking at items in a shop window on a street lined with various storefronts and signs. They are dressed in casual, cool-weather clothing, and the setting appears to be a quiet urban street.","The two individuals in the image are a man and a woman, both examining items in a shop window. The man is dressed in a gray jacket and dark trousers, while the woman beside him is wearing a brown coat and carrying a white shopping bag.",1
704.jpg,"The image shows a traffic officer wearing a reflective vest, directing vehicles in a foggy environment. The visibility is low due to the thick fog, affecting both the background and the surroundings.","The person in the image is a traffic officer wearing a reflective safety vest, managing traffic. The environment appears foggy, which might be affecting visibility.",1
person_244.jpg,"An elderly woman with a cane stands smiling beside a building, facing two other individuals from behind who seem to be in conversation with her, on a city sidewalk next to a park named ‘Peter Turner Park’.","In the image, an elderly woman with white hair, dressed in a light coat and using a walking stick, stands smiling. Facing her are two other individuals, a man and a woman, who are seen from the back, engaged in conversation with her.",1
crop001702.jpg,"The image shows a group of people at a car show, standing near a Lancia exhibit where several cars, including a silver one in the foreground, are displayed.","One of the people is wearing a long black coat and appears to be speaking on a cellphone, while the other, further in the background to the right, is dressed in a casual jacket and jeans, observing a car at an auto show.",1
152.jpg,"The image features an individual walking toward the camera in a misty or foggy environment, dressed in a dark trench coat and a medical mask. The overall tone of the image is cold and somber.","The person in the image is walking towards the camera in a misty setting, wearing a dark coat, dark pants, and a face mask.",1
crop001528.jpg,"The image shows a woman walking on a city street, appearing slightly blurred, with vehicles and shop signs in the background.","The person in the image is a woman dressed in a black coat, matching trousers, and black boots, walking alone in a city setting with a street and shops in the background. She appears to be crossing the street while hugging her folded arms.",1
crop001696.jpg,"The image shows a busy car show event with several people, including couples and groups, gathered around various car exhibits, discussing and examining the vehicles on display.","The three people in the image are interacting at a car show; two are engaged in conversation near a red car, while one person in black looks on. They appear to be examining or discussing the vehicles on display, contributing to the bustling atmosphere of the event.",1
crop001635.jpg,"The image captures a bustling outdoor fair scene at night with bright lights and a variety of stalls, where a woman and a young child are walking hand in hand among other attendees.","In the image, a woman wearing a black coat is holding the hand of a young boy in a red jacket, who is carrying a plush toy. Around them, a small crowd of people is visible, including a man with a child who are mostly absorbed in the vibrant fairground setting.",1
217.jpg,"The image shows a woman wearing a bright pink jacket and a face mask, riding a bicycle on a city street. In the background, other masked pedestrians are visible, suggesting a busy urban environment possibly under air quality or health precautions.","In the image, there are three people: a woman on a bicycle wearing a pink jacket and a mask, and two pedestrians behind her, both walking and wearing masks, with one dressed in a dark suit and the other in dark casual clothing.",1
290.jpg,"The image shows two people, a man and a woman, walking through what appears to be a misty or smog-filled environment. The woman is wearing a long, light-colored coat and carrying a yellow bag, while both of them seem to be bundled up against the cold.","There are two people visible in the image, not three. They are walking through a foggy area, where the woman is wearing a long white coat and the man is in dark clothing, and both appear to be adults.",1
628.jpg,The image is too blurred and obscure to accurately describe the people depicted in it.,"The image is extremely blurry and lacks clear details, but it appears to contain indistinct shapes or forms that might be part of a room or an abstract scene. The colors are mostly grayscale, contributing to the image's obscure and undefined nature.",1
826.jpg,"The image shows two people walking outdoors, one wearing a blue jacket and a face mask, carrying a bag, and the other a child in a pink jacket and beige pants. There is a foggy or smoggy background with a large red sign partially visible.","The image only displays two individuals, not six; a woman on the left wearing a face mask and holding a bag, and a younger girl on the right dressed in a pink hooded jacket and pants, both walking on what looks like a city street.",1
950.jpg,"The image shows two people who are upside down, likely due to the camera's orientation or a reflection. They are dressed in casual, modern clothing, possibly with dark jeans and winter jackets.","The image shows two people who appear to be upside-down, but this effect might be a result of the picture being taken through a reflective surface or being inverted. The background includes a blurred, inverted view of a building and some trees.",1
crop001264.jpg,"The two individuals in the image are casually dressed males, participating in an outdoor activity on a grassy field. One wears a white t-shirt with a graphic design and dark pants, while the other is in a light-colored shirt and beige cargo pants, clapping his hands.","The image depicts a group of young people engaging in outdoor activities on a grassy area, with one individual walking while eating and another looking down mid-step.",1
crop001027.jpg,"This image shows a person in a red jacket and trousers, wearing sunglasses and a hood, standing and spreading their arms wide in front of a slightly foggy background. Two other individuals are sitting behind on rocky terrain, with one of them holding a water bottle.","The person is standing outdoors, wearing a red jacket and dark sunglasses, with their arms extended to the sides, possibly balancing themselves or enjoying the breeze on a cloudy day.",1
